execution_tier,is_today_action,action_rank,action_type,priority,priority_score,Campaign Name,Ad Group Name,diagnosis_object,diagnosis_level,Spend,Sales,Orders,ACOS,Clicks,data_sufficiency,confidence,operation_risk,estimated_savings,estimated_opportunity,spend_share,materiality_level,priority_reason,downgrade_reason,recommendation_reason
P1,False,7,提高竞价,高,80,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,cutting boards for kitchen,搜索词,178.32999999999998,881.14,13.0,0.20238554599723085,129.0,充分,中,高,0.0,881.14,0.020948109583763072,高,影响层级 高；预估节省 $0.00；预估机会 881.14；花费占比 2.09%；数据充分性 充分；置信度 中。,操作风险较高，需要人工复核；不满足 P0 收敛条件,订单 13 个且 ACOS 20.24% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。；曝光 40899 且 CTR 0.32% 偏低，建议检查主图、标题、价格和相关性。
P1,False,8,提高竞价,高,80,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降,close-match,Targeting,57.81,393.09,7.0,0.14706555750591468,42.0,充分,高,高,0.0,393.09,0.006790838417749921,高,影响层级 高；预估节省 $0.00；预估机会 393.09；花费占比 0.68%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；不满足 P0 收敛条件,订单 7 个且 ACOS 14.71% 低于目标的 70%，具备放量空间。
P1,False,9,提高竞价,高,80,SP_新凹槽款_转化_关键词_手动_wood fiber-提降,广告组 - 2025-05-20 14:22:02.869,bestcook wood fiber cutting board,搜索词,55.39000000000001,359.44,9.0,0.15410082350322726,55.0,充分,高,高,0.0,359.44,0.006506565299414775,高,影响层级 高；预估节省 $0.00；预估机会 359.44；花费占比 0.65%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；不满足 P0 收敛条件,订单 9 个且 ACOS 15.41% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P1,False,10,降低竞价,高,80,SP_costco_转化_商品_手动_出单ASIN,SP_costco_转化_商品_手动_出单ASIN,SP_costco_转化_商品_手动_出单ASIN / SP_costco_转化_商品_手动_出单ASIN,广告组,35.92,0.0,0.0,inf,27.0,充分,中,中,35.92,0.0,0.004219458847354734,高,影响层级 高；预估节省 $35.92；预估机会 0.00；花费占比 0.42%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告组点击 27、花费 35.92 且无订单，但暂未达到暂停条件。
P1,False,11,降低竞价,高,80,SP_costco_转化_商品_手动_出单ASIN,,SP_costco_转化_商品_手动_出单ASIN,广告活动,35.92,0.0,0.0,inf,27.0,充分,中,中,35.92,0.0,0.004219458847354734,高,影响层级 高；预估节省 $35.92；预估机会 0.00；花费占比 0.42%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；不满足 P0 收敛条件,广告活动花费 35.92、点击 27 且无订单，但暂未达到暂停条件。
P1,False,12,提高竞价,高,79,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,bestcook cutting boards,Targeting,151.52,850.5100000000001,22.0,0.17815193236998977,145.0,充分,中,高,0.0,850.5100000000001,0.017798786318240237,高,影响层级 高；预估节省 $0.00；预估机会 850.51；花费占比 1.78%；数据充分性 充分；置信度 中。,操作风险较高，需要人工复核,订单 22 个且 ACOS 17.82% 低于目标的 70%，具备放量空间。；曝光 24053 且 CTR 0.60% 偏低，建议检查主图、标题、价格和相关性。
P1,False,13,提高竞价,高,79,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,bestcook cutting board,搜索词,151.5,892.5000000000001,23.0,0.16974789915966385,146.0,充分,中,高,0.0,892.5000000000001,0.017796436953625896,高,影响层级 高；预估节省 $0.00；预估机会 892.50；花费占比 1.78%；数据充分性 充分；置信度 中。,操作风险较高，需要人工复核,订单 23 个且 ACOS 16.97% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。；曝光 24032 且 CTR 0.61% 偏低，建议检查主图、标题、价格和相关性。
P1,False,14,提高竞价,高,79,SP_基础套装_引流_关键词_手动_大词_广泛,大词,cutting board,Targeting,48.98,391.77,6.0,0.1250223345330168,51.0,充分,高,高,0.0,391.77,0.005753593940518787,高,影响层级 高；预估节省 $0.00；预估机会 391.77；花费占比 0.58%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 6 个且 ACOS 12.50% 低于目标的 70%，具备放量空间。
P1,False,15,提高竞价,高,79,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,epicurean cutting board,Targeting,48.029999999999994,355.69,10.0,0.13503331552756612,51.0,充分,高,高,0.0,355.69,0.005641999121337634,高,影响层级 高；预估节省 $0.00；预估机会 355.69；花费占比 0.56%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 10 个且 ACOS 13.50% 低于目标的 70%，具备放量空间。
P1,False,16,提高竞价,高,79,SP_基础套装_转化_自动_自动_紧密匹配,自动,wood fiber cutting board,搜索词,44.63,370.37,7.0,0.12050112050112051,42.0,充分,高,高,0.0,370.37,0.005242607136899826,高,影响层级 高；预估节省 $0.00；预估机会 370.37；花费占比 0.52%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 7 个且 ACOS 12.05% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P1,False,17,提高竞价,高,79,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,epicurean cutting boards,搜索词,39.37,255.23000000000002,8.0,0.15425302668181637,39.0,充分,高,高,0.0,255.23000000000002,0.004624724243328392,高,影响层级 高；预估节省 $0.00；预估机会 255.23；花费占比 0.46%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 8 个且 ACOS 15.43% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P1,False,18,提高竞价,高,78,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,non toxic cutting board,Targeting,31.790000000000003,198.21,6.0,0.16038544977549066,22.0,充分,高,高,0.0,198.21,0.003734315054493513,高,影响层级 高；预估节省 $0.00；预估机会 198.21；花费占比 0.37%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 6 个且 ACOS 16.04% 低于目标的 70%，具备放量空间。
P1,False,19,提高竞价,高,78,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准,wood fibre cutting board,Targeting,27.27,239.07000000000002,5.0,0.11406700966244195,32.0,充分,高,高,0.0,239.07000000000002,0.003203358651652661,高,影响层级 高；预估节省 $0.00；预估机会 239.07；花费占比 0.32%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 5 个且 ACOS 11.41% 低于目标的 70%，具备放量空间。
P1,False,20,提高竞价,高,78,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准,wood fibre cutting board,搜索词,26.46,239.07000000000002,5.0,0.11067888066256744,31.0,充分,高,高,0.0,239.07000000000002,0.003108209384771889,高,影响层级 高；预估节省 $0.00；预估机会 239.07；花费占比 0.31%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核,订单 5 个且 ACOS 11.07% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,提高竞价,高,78,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,non toxic cutting board,搜索词,22.150000000000002,168.22,5.0,0.13167280941624065,15.0,充分,高,高,0.0,168.22,0.002601921310381608,高,影响层级 高；预估节省 $0.00；预估机会 168.22；花费占比 0.26%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 5 个且 ACOS 13.17% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,增加预算,高,77,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,SP_基础套装_转化_自动_自动_紧密匹配-提降 / 广告组 - 2025-07-18 16:29:48.730,广告组,489.67999999999995,2493.86,39.0,0.19635424602824533,345.0,充分,中,高,0.0,2493.86,0.05752184321750183,高,影响层级 高；预估节省 $0.00；预估机会 2493.86；花费占比 5.75%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 39 且 ACOS 19.64% 健康，可承接更多预算。
P2,False,9999,增加预算,高,77,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准 / SP_基础套装_转化_关键词_手动_出单词_精准,广告组,173.19,1261.07,22.0,0.13733575455763758,174.0,充分,中,高,0.0,1261.07,0.020344322877877682,高,影响层级 高；预估节省 $0.00；预估机会 1261.07；花费占比 2.03%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 22 且 ACOS 13.73% 健康，可承接更多预算。
P2,False,9999,增加预算,高,77,SP_基础款_防守_手动_本品牌出单词,广告组 - 2025-05-23 17:48:11.837,SP_基础款_防守_手动_本品牌出单词 / 广告组 - 2025-05-23 17:48:11.837,广告组,162.77,1046.45,27.0,0.15554493764632807,158.0,充分,中,高,0.0,1046.45,0.019120303913806515,高,影响层级 高；预估节省 $0.00；预估机会 1046.45；花费占比 1.91%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 27 且 ACOS 15.55% 健康，可承接更多预算。
P2,False,9999,提取精准投放,高,76,SP_基础套装_转化_关键词_手动_核心词-词组,广告组 - 2026-01-23 10:20:05.155,epicurean cutting boards,搜索词,24.939999999999998,212.82,2.0,0.11718823418851611,27.0,充分,高,中,0.0,212.82,0.0029296576740820445,高,影响层级 高；预估节省 $0.00；预估机会 212.82；花费占比 0.29%；数据充分性 充分；置信度 高。,超出本周重点数量上限，降级为待观察,搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,降低竞价,高,75,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,large cutting board,Targeting,65.14,36.99,1.0,1.7610164909434982,42.0,一般,中,中,54.043,0.0,0.00765188054890555,高,影响层级 高；预估节省 $54.04；预估机会 0.00；花费占比 0.77%；数据充分性 一般；置信度 中。,超出本周重点数量上限，降级为待观察,已有订单但 ACOS 176.10% 高于目标 30.00%。；CTR 1.63% 高于账户平均，但 CVR 2.38% 明显偏低。
P2,False,9999,降低竞价,高,75,SP_基础款_转化_商品_手动_出单ASIN,SP_基础款_转化_商品_手动_出单ASIN,"asin=""B0F949KDKY""",Targeting,56.86,36.99,1.0,1.5371722087050552,42.0,一般,中,中,45.763,0.0,0.006679243598568768,高,影响层级 高；预估节省 $45.76；预估机会 0.00；花费占比 0.67%；数据充分性 一般；置信度 中。,超出本周重点数量上限，降级为待观察,已有订单但 ACOS 153.72% 高于目标 30.00%。；CTR 2.18% 高于账户平均，但 CVR 2.38% 明显偏低。
P2,False,9999,提高竞价,高,75,SP_costco_转化_关键词_手动_出单词_精准,SP_costco_转化_关键词_手动_出单词,wood fibre cutting board,Targeting,49.35999999999999,302.76,4.0,0.1630334258158277,29.0,充分,高,高,0.0,302.76,0.005798231868191247,高,影响层级 高；预估节省 $0.00；预估机会 302.76；花费占比 0.58%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 16.30% 低于目标的 70%，具备放量空间。
P2,False,9999,提高竞价,高,75,SP_costco_转化_关键词_手动_出单词_精准,SP_costco_转化_关键词_手动_出单词,wood fibre cutting board,搜索词,49.35999999999999,302.76,4.0,0.1630334258158277,29.0,充分,高,高,0.0,302.76,0.005798231868191247,高,影响层级 高；预估节省 $0.00；预估机会 302.76；花费占比 0.58%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 16.30% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,增加预算,高,74,SP_基础套装_转化_关键词_手动_核心词-词组,广告组 - 2026-01-23 10:20:05.155,SP_基础套装_转化_关键词_手动_核心词-词组 / 广告组 - 2026-01-23 10:20:05.155,广告组,96.24,574.86,7.0,0.16741467487736142,91.0,充分,中,高,0.0,574.86,0.01130514252420433,高,影响层级 高；预估节省 $0.00；预估机会 574.86；花费占比 1.13%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 7 且 ACOS 16.74% 健康，可承接更多预算。
P2,False,9999,提高竞价,高,74,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,cutting boards,搜索词,30.55,252.34,4.0,0.12106681461520172,21.0,充分,高,高,0.0,252.34,0.0035886544484044296,高,影响层级 高；预估节省 $0.00；预估机会 252.34；花费占比 0.36%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 12.11% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,提高竞价,高,74,SP_新凹槽款_转化_商品_手动_出单ASIN,SP_新凹槽款_转化_商品_手动_出单ASIN,"asin=""B003IP68UA""",Targeting,22.970000000000002,195.41,4.0,0.11754772017808711,22.0,充分,高,高,0.0,195.41,0.00269824525956955,高,影响层级 高；预估节省 $0.00；预估机会 195.41；花费占比 0.27%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 11.75% 低于目标的 70%，具备放量空间。
P2,False,9999,提高竞价,高,74,SP_costco黑_转化_自动_自动_紧密匹配-提降,黑色 自动,wood fiber cutting board,搜索词,20.39,298.53999999999996,4.0,0.06829905540296109,17.0,充分,高,高,0.0,298.53999999999996,0.002395177224319683,高,影响层级 高；预估节省 $0.00；预估机会 298.54；花费占比 0.24%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 6.83% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,提高竞价,高,74,SP_新凹槽款_转化_自动_自动_紧密-提降,广告组 - 2025-05-20 14:11:35.448,dishwasher safe cutting board,搜索词,18.56,223.39999999999998,4.0,0.08307967770814682,15.0,充分,高,高,0.0,223.39999999999998,0.002180210362107568,高,影响层级 高；预估节省 $0.00；预估机会 223.40；花费占比 0.22%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 8.31% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,提取精准投放,中,74,SP_基础套装_转化_自动_自动_紧密匹配-提降,广告组 - 2025-07-18 16:29:48.730,dishwasher safe cutting board,搜索词,12.240000000000002,257.54,4.0,0.04752659781004893,10.0,一般,高,中,0.0,257.54,0.001437811143976112,高,影响层级 高；预估节省 $0.00；预估机会 257.54；花费占比 0.14%；数据充分性 一般；置信度 高。,超出本周重点数量上限，降级为待观察,搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,降低竞价,高,73,新凹+三件套-auto079,Ad group - 2026-01-27 07:38:32.989,substitutes,Targeting,232.7,559.55,15.0,0.4158698954517023,216.0,充分,中,中,64.83500000000001,0.0,0.027334857287846504,高,影响层级 高；预估节省 $64.84；预估机会 0.00；花费占比 2.73%；数据充分性 充分；置信度 中。,超出本周重点数量上限，降级为待观察,已有订单但 ACOS 41.59% 高于目标 30.00%。
P2,False,9999,增加预算,高,73,SP_costco_转化_关键词_手动_长尾词-词组,广告组 - 2024-07-17 15:24:56.726,SP_costco_转化_关键词_手动_长尾词-词组 / 广告组 - 2024-07-17 15:24:56.726,广告组,74.87,471.62,6.0,0.1587506891141173,63.0,充分,中,高,0.0,471.62,0.008794846433781986,高,影响层级 高；预估节省 $0.00；预估机会 471.62；花费占比 0.88%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 6 且 ACOS 15.88% 健康，可承接更多预算。
P2,False,9999,提取精准投放,高,73,SP_基础套装_转化_关键词_手动_出单词_精准,SP_基础套装_转化_关键词_手动_出单词_精准,epicurean cutting board canada,搜索词,24.94,141.73000000000002,2.0,0.17596839060184857,24.0,充分,高,中,0.0,141.73000000000002,0.002929657674082045,高,影响层级 高；预估节省 $0.00；预估机会 141.73；花费占比 0.29%；数据充分性 充分；置信度 高。,超出本周重点数量上限，降级为待观察,搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,增加预算,高,72,SP_costco_转化_关键词_手动_出单词_词组,SP_costco_转化_关键词_手动_出单词_词组,SP_costco_转化_关键词_手动_出单词_词组 / SP_costco_转化_关键词_手动_出单词_词组,广告组,59.870000000000005,382.99,5.0,0.1563226193895402,41.0,充分,中,高,0.0,382.99,0.0070328229730269465,高,影响层级 高；预估节省 $0.00；预估机会 382.99；花费占比 0.70%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 5 且 ACOS 15.63% 健康，可承接更多预算。
P2,False,9999,增加预算,高,72,SP_基础套装_转化_关键词_手动_核心词-精准,Ad group - 2026-02-20 00:26:52.335,SP_基础套装_转化_关键词_手动_核心词-精准 / Ad group - 2026-02-20 00:26:52.335,广告组,58.769999999999996,301.45000000000005,5.0,0.19495770442859509,59.0,充分,中,高,0.0,301.45000000000005,0.006903607919238243,高,影响层级 高；预估节省 $0.00；预估机会 301.45；花费占比 0.69%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 5 且 ACOS 19.50% 健康，可承接更多预算。
P2,False,9999,增加预算,高,72,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降,SP_costco_转化_自动_自动_紧密匹配-仅降 / SP_costco_转化_自动_自动_紧密匹配-仅降,广告组,57.81,393.09,7.0,0.14706555750591468,42.0,充分,中,高,0.0,393.09,0.006790838417749921,高,影响层级 高；预估节省 $0.00；预估机会 393.09；花费占比 0.68%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 7 且 ACOS 14.71% 健康，可承接更多预算。
P2,False,9999,提高竞价,高,72,SP_新凹槽款_转化_关键词_手动_出单词_广泛,SP_新凹槽款_转化_关键词_手动_出单词_广泛,cutting board epicurean,Targeting,27.660000000000004,146.46,4.0,0.18885702580909464,27.0,充分,高,高,0.0,146.46,0.0032491712616322926,高,影响层级 高；预估节省 $0.00；预估机会 146.46；花费占比 0.32%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 18.89% 低于目标的 70%，具备放量空间。
P2,False,9999,增加预算,高,71,SP_基础套装_引流_关键词_手动_大词_广泛,大词,SP_基础套装_引流_关键词_手动_大词_广泛 / 大词,广告组,48.98,391.77,6.0,0.1250223345330168,51.0,充分,中,高,0.0,391.77,0.005753593940518787,高,影响层级 高；预估节省 $0.00；预估机会 391.77；花费占比 0.58%；数据充分性 充分；置信度 中。,Campaign/Ad Group 层级仅作为结构提醒，优先处理具体搜索词或 Targeting；操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,广告组订单 6 且 ACOS 12.50% 健康，可承接更多预算。
P2,False,9999,降低竞价,高,71,SP_新凹槽款_转化_关键词_手动_出单词_词组,SP_新凹槽款_转化_关键词_手动_出单词_词组,large cutting board,搜索词,37.44,36.99,1.0,1.0121654501216544,24.0,一般,中,中,26.342999999999996,0.0,0.0043980105580445775,高,影响层级 高；预估节省 $26.34；预估机会 0.00；花费占比 0.44%；数据充分性 一般；置信度 中。,超出本周重点数量上限，降级为待观察,已有订单但 ACOS 101.22% 高于目标 30.00%。
P2,False,9999,提高竞价,高,71,SP_新凹槽款_转化_关键词_手动_出单词_广泛,SP_新凹槽款_转化_关键词_手动_出单词_广泛,epicurean cutting boards,搜索词,16.810000000000002,146.46,4.0,0.11477536528745051,18.0,充分,高,高,0.0,146.46,0.001974640958352814,高,影响层级 高；预估节省 $0.00；预估机会 146.46；花费占比 0.20%；数据充分性 充分；置信度 高。,操作风险较高，需要人工复核；超出本周重点数量上限，降级为待观察,订单 4 个且 ACOS 11.48% 低于目标的 70%，具备放量空间。；搜索词已有稳定转化且 ACOS 健康，建议单独提取为精准投放。
P2,False,9999,降低竞价,高,70,SP_新凹槽款_转化_关键词_手动_出单词_广泛,SP_新凹槽款_转化_关键词_手动_出单词_广泛,planche a decouper,Targeting,46.63,91.73,3.0,0.5083396925760384,41.0,充分,中,中,19.111,0.0,0.005477543598333832,高,影响层级 高；预估节省 $19.11；预估机会 0.00；花费占比 0.55%；数据充分性 充分；置信度 中。,超出本周重点数量上限，降级为待观察,已有订单但 ACOS 50.83% 高于目标 30.00%。
